,F/B,C,N,P,Uptake_Gene,Enz_Gene,Osmo_Gene,Uptake_Cost,Enz_Consti_Cost,Enz_Induci_Cost,Osmo_Consti_Cost,Osmo_Induci_Cost,Drought_tolerance
Tax1,1.0,25.0,2.5,0.2777777777777778,14.0,33.0,10.0,0.08443067295765239,8.785473054519801e-05,2.209161236243604e-05,7.701188678124887e-05,0.0008545110955649743,0.8435576522734355
Tax2,1.0,25.0,2.5,0.2777777777777778,14.0,24.0,10.0,0.06651224544956628,8.487445151068137e-05,9.028957593094263e-05,6.278911913409886e-05,0.00021528594347101552,0.12347339444062258
Tax3,0.0,1.0,0.19393939393939397,0.01818181818181818,10.0,12.0,10.0,0.011792633694891702,1.2149870472188332e-05,1.1191931087839448e-05,4.129109044274792e-05,0.0009463174945231678,0.9469771476446011
Tax4,0.0,1.0,0.19393939393939397,0.01818181818181818,7.0,2.0,10.0,0.09903965295231827,6.231173793610115e-05,9.463369525494133e-05,8.136932107439882e-05,0.0001460158000923307,0.04544088958467952
Tax5,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,32.0,10.0,0.05655260055883526,7.077759882603462e-05,8.554898845604248e-05,7.593061315725584e-05,0.00020100263648101336,0.10738331337982272
Tax6,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,1.0,10.0,0.06682306672052193,8.627832848508931e-05,8.098371513401576e-05,1.6351545916126554e-05,0.00024679159542638696,0.15896436961815735
Tax7,0.0,1.0,0.19393939393939397,0.01818181818181818,12.0,12.0,10.0,0.041864069879303266,3.176698483755833e-05,8.923074363574638e-05,3.763676002047906e-05,0.0002842855716751024,0.2012011651694826
Tax8,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,16.0,10.0,0.06844400899163389,7.219707301272079e-05,1.6403622717943053e-05,9.229765697033126e-05,0.00034822571938359026,0.27322945388365893
Tax9,1.0,25.0,2.5,0.2777777777777778,14.0,35.0,10.0,0.03305623023133976,5.8060589345212636e-05,6.388568939485238e-05,8.26086808891257e-05,0.00018444225792194877,0.08872812144147163
Tax10,1.0,25.0,2.5,0.2777777777777778,12.0,6.0,10.0,0.09990091753387796,1.1225794523158869e-05,7.871011767132659e-05,1.1243398931882266e-05,0.00028946625674580164,0.20703718359269332
Tax11,1.0,25.0,2.5,0.2777777777777778,12.0,19.0,10.0,0.023748185048335133,1.4622975370971619e-05,4.6239678227272604e-05,1.9042782840922215e-05,0.00030805522008650745,0.22797756716055703
Tax12,1.0,25.0,2.5,0.2777777777777778,13.0,27.0,10.0,0.09298951504311816,7.757931029026596e-05,6.737333648173804e-05,6.589229996242835e-05,0.0009789850552233148,0.9837770077954673
Tax13,1.0,25.0,2.5,0.2777777777777778,14.0,27.0,10.0,0.06367851794902683,9.989162741019415e-05,2.5962305218358982e-05,9.457073944914986e-05,0.0009933863486088583,1.0
Tax14,1.0,25.0,2.5,0.2777777777777778,12.0,9.0,10.0,0.029287716876763487,5.625857561079909e-05,8.13034474751274e-05,8.052565388001242e-05,0.0008312439009485494,0.8173472622217667
Tax15,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,22.0,10.0,0.044288418014083626,6.555484874203342e-05,9.69240735490251e-05,3.822988326144424e-05,0.0005447122125548253,0.4945706044092626
Tax16,1.0,25.0,2.5,0.2777777777777778,13.0,39.0,10.0,0.04686777242814674,5.531425783823872e-05,2.2668539987699466e-05,7.429935397359233e-05,0.00034060067369701217,0.26463987422432506
Tax17,1.0,25.0,2.5,0.2777777777777778,12.0,11.0,10.0,0.047434859463783,4.983405748363973e-05,2.3999783474180062e-05,6.112114124366668e-05,0.0005286281277767525,0.47645195527225837
Tax18,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,31.0,10.0,0.08860438153894325,4.0666021874370025e-05,4.049425805627843e-05,3.263177901075549e-05,0.0007693330728982069,0.7476049929721786
Tax19,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,38.0,10.0,0.07181697681922702,6.175244348777836e-05,3.1598638167444234e-05,5.148821477601148e-05,0.0009177620780578767,0.914809599472946
Tax20,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,18.0,10.0,0.04122159009267294,2.1960014274299194e-05,2.8983781650706167e-05,3.4725184506907e-05,0.000601053079650477,0.5580383377037531
Tax21,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,27.0,10.0,0.01320432969764372,6.671189732076276e-05,3.8062962497160006e-05,4.6467673486564926e-05,0.0009570718971436137,0.9590919338103382
Tax22,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,9.0,10.0,0.051860532077097815,7.40663422277066e-05,3.219069672797975e-05,1.0784273307447241e-05,0.00013321759812711677,0.03102377265252084
Tax23,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,40.0,10.0,0.08096066600275725,6.963173863727125e-05,7.778137908393019e-05,5.706599838878176e-05,0.0008024132611205361,0.7848696761702897
Tax24,0.0,1.0,0.19393939393939397,0.01818181818181818,8.0,0.0,10.0,0.010510595015592884,6.871728494023707e-05,9.342668028758046e-05,9.621927626447443e-05,0.00033322397996480256,0.25633006192420243
Tax25,1.0,25.0,2.5,0.2777777777777778,6.0,3.0,10.0,0.08684264836362418,8.738532265292955e-05,4.360289442610991e-05,5.6214002553487404e-05,0.0009437054366909152,0.9440346762487362
Tax26,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,38.0,10.0,0.07513034507511497,9.724186630030833e-05,5.6987719284541307e-05,8.01878153909385e-05,0.0008923404967659879,0.8861723025243811
Tax27,1.0,25.0,2.5,0.2777777777777778,12.0,10.0,10.0,0.04984666048068785,2.871192071209433e-05,2.6540483485458903e-05,4.7131606469906785e-05,0.0008414106653154059,0.8288000765387364
Tax28,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,34.0,10.0,0.016095290819808598,5.921928083552921e-05,7.94402541994254e-05,8.923475000810415e-05,0.0002302241744746667,0.1403012444561648
Tax29,1.0,25.0,2.5,0.2777777777777778,14.0,8.0,10.0,0.03462328455478509,9.453257578998238e-05,6.203366150033648e-05,4.817887995046936e-05,0.00026366652700931343,0.1779739041226522
Tax30,1.0,25.0,2.5,0.2777777777777778,12.0,17.0,10.0,0.030609000850986293,4.81046017233075e-05,7.358724564874868e-05,5.894440333778106e-05,0.00041139347439487643,0.3443876456995858
Tax31,1.0,25.0,2.5,0.2777777777777778,13.0,12.0,10.0,0.09375609522560578,2.9983372899198994e-05,2.066864214230402e-05,3.193369645012742e-05,0.00032045936110640627,0.2419507762107768
Tax32,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,25.0,10.0,0.020524104798955313,4.7561120931106025e-05,5.0506903984916444e-05,8.318567563067574e-05,0.0007753010337712892,0.7543278740446635
Tax33,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,39.0,10.0,0.03354491197006277,5.0609158383332345e-05,3.715828388635927e-05,3.4175312367194364e-05,0.0008139599557013485,0.7978769756647004
Tax34,1.0,25.0,2.5,0.2777777777777778,14.0,12.0,10.0,0.04286115125030065,1.6098420385331262e-05,7.295167214442836e-05,2.4763832020459443e-05,0.0007218838285402889,0.6941536326865668
Tax35,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,23.0,10.0,0.06930324712139355,1.9629707489948758e-05,9.436953103899994e-05,8.40123640345139e-05,0.0007545880213838919,0.7309947587822206
Tax36,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,33.0,10.0,0.09512058927191568,3.659142436795988e-05,3.491974694218624e-05,4.319095299173211e-05,0.0003749781688260198,0.3033659678159676
Tax37,1.0,25.0,2.5,0.2777777777777778,14.0,5.0,10.0,0.09080619775780956,9.131517742084283e-05,3.631408431437073e-05,4.983854647046882e-05,0.0006644811116418186,0.6294897303666745
Tax38,1.0,25.0,2.5,0.2777777777777778,14.0,40.0,10.0,0.08319149160770639,6.602621767683646e-05,6.466072358858065e-05,4.8818157747196625e-05,0.00038341395531425683,0.3128688433406862
Tax39,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,33.0,10.0,0.05549875147584976,6.041602666242599e-05,4.747113901016125e-05,6.857815802535407e-05,0.0007395447368885143,0.7140485664809053
Tax40,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,31.0,10.0,0.05102996219959604,3.3807115982734366e-05,9.153996141428921e-05,9.855232084403771e-05,0.0005931006563830568,0.5490799686725373
Tax41,0.0,1.0,0.19393939393939397,0.01818181818181818,12.0,22.0,10.0,0.021118982949410142,3.909375485568674e-05,4.239824157404931e-05,3.157648542186129e-05,0.00023682611310067963,0.14773829861493407
Tax42,1.0,25.0,2.5,0.2777777777777778,8.0,9.0,10.0,0.08825314981849301,4.917170069017664e-05,8.594374899104383e-05,3.990717675340812e-05,0.0009719997323068617,0.9759080729584393
Tax43,0.0,1.0,0.19393939393939397,0.01818181818181818,11.0,3.0,10.0,0.05318450591447225,6.84496843429049e-05,6.869500769017795e-05,4.458265402823032e-05,0.0001595429995764755,0.060679218942009075
Tax44,1.0,25.0,2.5,0.2777777777777778,13.0,14.0,10.0,0.07637680557903216,1.6913332513307557e-05,2.984852168753457e-05,2.7320037839293367e-05,0.0008906491079347988,0.8842669606159411
Tax45,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,29.0,10.0,0.02875233860990018,2.474878522142134e-05,1.0837782070090508e-05,9.309551852273662e-05,0.00043911808081451714,0.3756192900927953
Tax46,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,36.0,10.0,0.06522526654292575,3.2636964683242106e-05,3.2888235500106105e-05,1.6185965667945366e-05,0.0005088894576190876,0.45421643214784985
Tax47,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,10.0,10.0,0.014983564812405568,5.3549391142209013e-05,4.084021552052143e-05,8.623378359689589e-05,0.00025749348621451025,0.1710200014410441
Tax48,1.0,25.0,2.5,0.2777777777777778,13.0,11.0,10.0,0.06059622981408982,5.487438630691932e-05,7.716645716522592e-05,9.796207241188548e-05,0.0009338177792905561,0.9328962746737677
Tax49,0.0,1.0,0.19393939393939397,0.01818181818181818,12.0,12.0,10.0,0.0536559598327212,1.3413828080318632e-05,1.3912274816387584e-05,5.818569403437065e-05,0.0008808520327112618,0.8732305994556158
Tax50,1.0,25.0,2.5,0.2777777777777778,14.0,22.0,10.0,0.037430178331300065,9.047160801457628e-05,1.5277601108751238e-05,1.2451377534105117e-05,0.0004546136663470842,0.3930749974775124
Tax51,1.0,25.0,2.5,0.2777777777777778,14.0,40.0,10.0,0.07414103286810461,4.3417189784276776e-05,4.55251152125005e-05,8.540506487867501e-05,0.0003635620727699519,0.29050578697209267
Tax52,1.0,25.0,2.5,0.2777777777777778,14.0,40.0,10.0,0.04846417824688537,2.2702377453715907e-05,7.065233764218292e-05,9.910129726426753e-05,0.0008589608672275074,0.8485703000308717
Tax53,0.0,1.0,0.19393939393939397,0.01818181818181818,12.0,36.0,10.0,0.03796256808699313,2.392292030658845e-05,3.4219773214038084e-05,2.7053358040781166e-05,0.0004728288471484926,0.41359431669657953
Tax54,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,2.0,10.0,0.08245192371491376,8.309233874441237e-05,6.764358085906083e-05,9.52411736283662e-05,0.0005648200249991239,0.5172219646587196
Tax55,0.0,1.0,0.19393939393939397,0.01818181818181818,11.0,6.0,10.0,0.07981109915508772,5.730177445905821e-05,9.966082456217218e-05,6.565038668406282e-05,0.0006507251775961148,0.6139937325548709
Tax56,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,5.0,10.0,0.032261509186476474,4.209811833850385e-05,5.489963908572829e-05,7.78385322818535e-05,0.000794769986698734,0.7762595619227406
Tax57,1.0,25.0,2.5,0.2777777777777778,14.0,26.0,10.0,0.04330064620292512,1.0802264048445619e-05,7.578231954267948e-05,7.525659928290908e-05,0.0009060671436838697,0.9016353085184616
Tax58,1.0,25.0,2.5,0.2777777777777778,6.0,1.0,10.0,0.01371579007746965,7.522029156798994e-05,8.29526989375378e-05,1.3591682884834056e-05,0.0004869265082240695,0.4294752684700372
Tax59,0.0,1.0,0.19393939393939397,0.01818181818181818,12.0,13.0,10.0,0.0542625971804791,8.951717487562855e-05,4.8581217333359406e-05,1.4428845610897983e-05,0.00010567752128663628,0.0
Tax60,1.0,25.0,2.5,0.2777777777777778,11.0,6.0,10.0,0.07664436562606558,2.6373309506554283e-05,3.917286924443186e-05,5.565740787904431e-05,0.00017315379940820337,0.07601172371475635
Tax61,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,26.0,10.0,0.06964291100608518,3.500082331826261e-05,9.594217794790212e-05,7.33851068880607e-05,0.0006217650247533265,0.5813702506749547
Tax62,1.0,25.0,2.5,0.2777777777777778,14.0,35.0,10.0,0.012272071963051398,7.740215909579375e-05,8.438373793235446e-05,2.0358324243405926e-05,0.0002728052091031452,0.18826858838460625
Tax63,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,21.0,10.0,0.07368667919464006,1.4125744709069801e-05,5.985359457900726e-05,7.16379267143327e-05,0.000423164120603313,0.3576472256949123
Tax64,1.0,25.0,2.5,0.2777777777777778,5.0,3.0,10.0,0.09551481335852186,3.747290812569868e-05,7.560692436896613e-05,7.078699547683098e-05,0.0003994482243488162,0.3309313752667536
Tax65,1.0,25.0,2.5,0.2777777777777778,7.0,0.0,10.0,0.09721797003393094,2.0685761188560997e-05,5.161179976960635e-05,2.5872441259015186e-05,0.0005570596868562919,0.5084799786561233
Tax66,1.0,25.0,2.5,0.2777777777777778,14.0,38.0,10.0,0.0926300507447312,4.571800686612241e-05,4.3063994139315713e-05,5.363721306925764e-05,0.00021974785029020273,0.1284997123974312
Tax67,1.0,25.0,2.5,0.2777777777777778,13.0,35.0,10.0,0.08138130144883378,7.586032634618557e-05,6.588261386858965e-05,2.942502206034158e-05,0.0005211831089314904,0.4680651750396905
Tax68,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,31.0,10.0,0.06407012763907188,8.102232641937718e-05,9.858388751009686e-05,3.564195727543815e-05,0.0004884715057671468,0.43121570125106273
Tax69,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,32.0,10.0,0.04051848929539362,9.306663550321507e-05,9.19572045374207e-05,6.681825245214295e-05,0.0006416461111258565,0.6037662050246501
Tax70,0.0,1.0,0.19393939393939397,0.01818181818181818,11.0,8.0,10.0,0.07292036434801244,6.43676717056603e-05,8.229620544401044e-05,2.8770911926555995e-05,0.0008246880214855864,0.8099620935029438
Tax71,0.0,1.0,0.19393939393939397,0.01818181818181818,4.0,2.0,10.0,0.017624075376318125,4.47566302421727e-05,5.866265273469002e-05,2.302970800030644e-05,0.00046175001014850864,0.40111405666198763
Tax72,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,17.0,10.0,0.09798136229618136,9.829863767969812e-05,8.91631659830633e-05,6.978718132886352e-05,0.000574811139415231,0.5284769100964543
Tax73,0.0,1.0,0.19393939393939397,0.01818181818181818,11.0,23.0,10.0,0.06034197841384098,7.932609644507912e-05,4.9835138533655386e-05,1.835914950622849e-05,0.0007078454948063287,0.678339512896515
Tax74,0.0,1.0,0.19393939393939397,0.01818181818181818,5.0,1.0,10.0,0.049133956364523175,1.7964835827786184e-05,7.443920787285337e-05,7.236949677925647e-05,0.0005380516248872991,0.4870674823691024
Tax75,1.0,25.0,2.5,0.2777777777777778,13.0,34.0,10.0,0.05712218359358488,9.61894410298062e-05,6.532696975077761e-05,9.64537700675631e-05,0.000171806997694203,0.07449455764346359
Tax76,0.0,1.0,0.19393939393939397,0.01818181818181818,11.0,15.0,10.0,0.07102400966328266,6.367695310584694e-05,8.717028759798638e-05,4.224767838320013e-05,0.0006234479170823169,0.5832660213118954
Tax77,0.0,1.0,0.19393939393939397,0.01818181818181818,12.0,24.0,10.0,0.06272915450456969,8.115613737330603e-05,1.8317029066048187e-05,9.102644562141678e-05,0.000396232898345549,0.3273093249904639
Tax78,1.0,25.0,2.5,0.2777777777777778,12.0,6.0,10.0,0.019752895709465073,2.0969494161743584e-05,1.9528660887393422e-05,6.358428474051793e-05,0.0007850181298535909,0.7652741390622294
Tax79,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,26.0,10.0,0.07765510473405161,6.0304212982943426e-05,1.1939919505437095e-05,2.3856861398401742e-05,0.0003002870319939182,0.2192267382248777
Tax80,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,36.0,10.0,0.09125669080565402,9.204910650128156e-05,2.8014984509089907e-05,6.458311807159859e-05,0.0009872013595786829,0.9930326376850026
Tax81,0.0,1.0,0.19393939393939397,0.01818181818181818,11.0,15.0,10.0,0.03882732256562654,2.9317035395874353e-05,6.968992080438943e-05,1.7524658890451328e-05,0.00011491816365172554,0.010409542048786084
Tax82,1.0,25.0,2.5,0.2777777777777778,12.0,19.0,10.0,0.08497467865724932,3.863670923232368e-05,4.4605895620242267e-05,2.2306270704952184e-05,0.0007013343828580481,0.6710047745815637
Tax83,1.0,25.0,2.5,0.2777777777777778,14.0,8.0,10.0,0.059045888552405834,7.368551909124144e-05,2.1261888762055052e-05,8.900535596281679e-05,0.000923997044421266,0.9218332610289511
Tax84,1.0,25.0,2.5,0.2777777777777778,13.0,10.0,10.0,0.023073979888314472,8.866868279279585e-05,6.295214407186951e-05,3.004537208385643e-05,0.0003533546799078282,0.27900720483799996
Tax85,1.0,25.0,2.5,0.2777777777777778,14.0,37.0,10.0,0.03635542129567339,2.6183164410317375e-05,8.82282817787518e-05,2.1197838057088102e-05,0.0004427379719265357,0.3796970811438746
Tax86,1.0,25.0,2.5,0.2777777777777778,4.0,0.0,10.0,0.016357661918142075,4.04011754972465e-05,2.4921707018067065e-05,6.137384752444404e-05,0.00014149406067351318,0.040347170473586096
Tax87,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,32.0,10.0,0.08983798447291622,4.265000989534303e-05,5.519097658784218e-05,1.5168578559742804e-05,0.0006044212046394408,0.5618325153499569
Tax88,1.0,25.0,2.5,0.2777777777777778,13.0,0.0,10.0,0.03586937706999269,2.768963742300137e-05,4.8705844225325154e-05,6.846148863678965e-05,0.000865009461503793,0.8553840142692795
Tax89,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,30.0,10.0,0.018592320512713714,5.15397689193293e-05,3.544379251001755e-05,4.5358096276308765e-05,0.0007650702981485932,0.7428029963958098
Tax90,0.0,1.0,0.19393939393939397,0.01818181818181818,12.0,10.0,10.0,0.031422703754609725,9.469076791945082e-05,1.3006442592092713e-05,7.906349897806641e-05,0.0006721280705384479,0.6381039951585392
Tax91,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,1.0,10.0,0.027329540401716708,4.6704079579975204e-05,2.7493739052600825e-05,3.6406719350419594e-05,0.0006937774633349904,0.6624919387389225
Tax92,1.0,25.0,2.5,0.2777777777777778,10.0,11.0,10.0,0.026459629372162244,9.740031063585104e-05,1.745114272679126e-05,5.9776095183851433e-05,0.0007156627464057705,0.687145611651917
Tax93,1.0,25.0,2.5,0.2777777777777778,11.0,16.0,10.0,0.06163066684801984,8.421763089857746e-05,5.788119920575792e-05,5.274230987950172e-05,0.0005042198939484106,0.4489561896821273
Tax94,1.0,25.0,2.5,0.2777777777777778,9.0,2.0,10.0,0.04550154373712235,7.159631042689973e-05,5.6218708603970907e-05,8.80485179565075e-05,0.000735080999722076,0.7090201866461534
Tax95,0.0,1.0,0.19393939393939397,0.01818181818181818,7.0,5.0,10.0,0.07877593583878861,7.91405335145302e-05,5.347102726397304e-05,8.663142632007658e-05,0.00012327167487315684,0.01981973485562087
Tax96,1.0,25.0,2.5,0.2777777777777778,14.0,29.0,10.0,0.02521297981297215,3.1241977616837636e-05,1.6252039867527973e-05,5.4681074306997716e-05,0.000679781971367758,0.6467260800063358
Tax97,1.0,25.0,2.5,0.2777777777777778,7.0,3.0,10.0,0.022525169484020793,5.2387075984025595e-05,7.136026316923476e-05,5.0986490422609935e-05,0.0004329205446471143,0.3686377934841633
Tax98,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,19.0,10.0,0.058054684065429824,1.824718486865826e-05,5.252395582534618e-05,3.918198928745537e-05,0.0005818926595500798,0.5364542106671947
Tax99,1.0,25.0,2.5,0.2777777777777778,8.0,9.0,10.0,0.025629392017780105,8.268017017554083e-05,9.751977441981639e-05,9.048767452513279e-05,0.0006360692441512571,0.5974838894691968
Tax100,1.0,25.0,2.5,0.2777777777777778,11.0,24.0,10.0,0.08628240459852796,3.5841363292194096e-05,6.0714977870218036e-05,4.405699138942362e-05,0.0001983557041969462,0.1044015560708956
